date,usd_ars
2016-04-01,14.2582
2016-05-01,14.0127
2016-06-01,14.92
2016-07-01,15.0447
2016-08-01,14.9008
2016-09-01,15.2633
2016-10-01,15.1745
2016-11-01,15.8442
2016-12-01,15.8502
2017-01-01,15.9117
2017-02-01,15.455
2017-03-01,15.3818
2017-04-01,15.4268
2017-05-01,16.142
2017-06-01,16.5985
2017-07-01,17.67
2017-08-01,17.365
2017-09-01,17.3183
2017-10-01,17.6713
2017-11-01,17.3845
2017-12-01,18.7742
2018-01-01,19.6525
2018-02-01,20.115
2018-03-01,20.1433
2018-04-01,20.6917
2018-05-01,24.9475
2018-06-01,28.8617
2018-07-01,27.3425
2018-08-01,37.125
2018-09-01,40.8967
2018-10-01,36.1967
2018-11-01,38.0217
2018-12-01,37.8083
2019-01-01,37.035
2019-02-01,38.9983
2019-03-01,43.3533
2019-04-01,44.01
2019-05-01,44.87
2019-06-01,42.4483
2019-07-01,43.8692
2019-08-01,59.075
2019-09-01,57.5583
2019-10-01,59.7267
2019-11-01,59.8633
2019-12-01,59.895
2020-01-01,60.3312
2020-02-01,62.208
2020-03-01,64.4697
2020-04-01,66.835
2020-05-01,68.535
2020-06-01,70.455
2020-07-01,72.315
2020-08-01,74.175
2020-09-01,76.175
2020-10-01,78.3283
2020-11-01,81.2967
2020-12-01,84.145
2021-01-01,87.2983
2021-02-01,89.825
2021-03-01,91.985
2021-04-01,93.555
2021-05-01,94.685
2021-06-01,95.7267
2021-07-01,96.685
2021-08-01,97.7517
2021-09-01,98.735
2021-10-01,99.7217
2021-11-01,100.925
2021-12-01,102.75
2022-01-01,105.015
2022-02-01,107.4417
2022-03-01,110.9783
2022-04-01,115.3117
2022-05-01,120.1617
2022-06-01,125.215
2022-07-01,131.2267
2022-08-01,138.7133
2022-09-01,147.315
2022-10-01,156.895
2022-11-01,167.255
2022-12-01,177.1283
2023-01-01,186.875
2023-02-01,197.1533
2023-03-01,208.9883
2023-04-01,222.575
2023-05-01,239.325
2023-06-01,256.675
2023-07-01,275.2833
2023-08-01,350.0167
2023-09-01,350.0083
2023-10-01,350.0083
2023-11-01,360.525
2023-12-01,808.4833
2024-01-01,826.25
2024-02-01,842.25
2024-03-01,857.4167
2024-04-01,876.75
2024-05-01,895.25
2024-06-01,911.75
2024-07-01,932.75
2024-08-01,952.8333
2024-09-01,970.9167
2024-10-01,990.75
2024-11-01,1011.75
2024-12-01,1032.5
2025-01-01,1053.5
2025-02-01,1064.375
2025-03-01,1073.875
2025-04-01,1172.0
2025-05-01,1195.3333
2025-06-01,1194.0833
2025-07-01,1351.8333
2025-08-01,1323.8333
2025-09-01,1366.5833
2025-10-01,1443.0
2025-11-01,1450.75
2025-12-01,1459.4167
2026-01-01,1447.6657
2026-02-01,1408.9662
2026-03-01,1395.5134
