date,reer_index,reer_percentile
2024-06-01,100.0,72.7
2024-07-01,98.34,68.2
2024-08-01,96.43,59.1
2024-09-01,94.97,45.5
2024-10-01,94.37,40.9
2024-11-01,94.09,36.4
2024-12-01,93.49,27.3
2025-01-01,93.33,22.7
2025-02-01,92.08,18.2
2025-03-01,89.56,9.1
2025-04-01,95.1,50.0
2025-05-01,95.56,54.5
2025-06-01,93.94,31.8
2025-07-01,104.36,95.5
2025-08-01,100.32,77.3
2025-09-01,101.45,86.4
2025-10-01,104.67,100.0
2025-11-01,102.7,90.9
2025-12-01,100.45,81.8
2026-01-01,96.85,63.6
2026-02-01,91.61,13.6
2026-03-01,87.77,4.5
